,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
122,Census Tract 404.01,0.5156,78702.0,362800.0,12,011,040401,Census Tract 404.01,0.0,0.0,6.0,7.33565691258712,23.0,235.70063685767,0.48708123648823953,2.191590039672681,0.43634009495036685,0.06473888649115235,0.014242555028053518,0.06214933103150626,0.8128172588832487
123,Census Tract 404.02,0.5215,106250.0,778900.0,12,011,040402,Census Tract 404.02,0.0,14.0,51.0,7.2543413801815335,43.0,2195.3993237643604,0.484648240989868,2.6259037369233456,0.4726897973205084,0.11267605633802817,0.01305393335623497,0.06870491240123669,0.851520572450805
124,Census Tract 405.03,0.5689,70750.0,239800.0,12,011,040503,Census Tract 405.03,9.0,8.0,30.0,7.729974605508069,25.0,273.4072631725326,0.48716034053328705,3.120571119481442,0.46506986027944114,0.03792415169660679,0.015302727877578177,0.14770459081836326,0.5266781411359724
125,Census Tract 405.05,0.5802,86819.0,580300.0,12,011,040505,Census Tract 405.05,0.0,6.0,22.0,8.33670569701498,7.0,658.7130004833774,0.49651885544461155,0.0,0.5368852459016393,0.0,0.0,0.13183060109289618,0.55668358714044
126,Census Tract 405.06,0.5547,93980.0,482900.0,12,011,040506,Census Tract 405.06,2.0,0.0,9.0,7.717562922691406,90.0,1222.5066576271547,0.4797520688282935,0.0,0.5405862457722661,0.037767756482525366,0.013528748590755355,0.0693348365276212,0.4067921742340347
127,Census Tract 406.01,0.5843,94688.0,910500.0,12,011,040601,Census Tract 406.01,1.0,0.0,17.0,10.720545411236918,151.0,634.5648356180529,0.48728578359426894,6.15020741368616,0.6014782876501386,0.10101632275947028,0.0,0.0384970742223591,0.632952691680261
129,Census Tract 407.01,0.4303,91193.0,416000.0,12,011,040701,Census Tract 407.01,0.0,0.0,6.0,10.47693797613974,130.0,1575.4241351801693,0.4790840066439688,1.8998683229824695,0.5267924528301887,0.1739622641509434,0.018867924528301886,0.020754716981132074,0.8747651847213526
131,Census Tract 409.02,0.3167,47782.0,190900.0,12,011,040902,Census Tract 409.02,0.0,0.0,7.0,11.6972641588763,13.0,3691.831086581689,0.4532498189822727,1.4533504969306854,0.04866231303981462,0.23572782810195914,0.037918685485569835,0.18733960650128315,0.9677914110429447
132,Census Tract 410,0.4342,42978.0,182200.0,12,011,041000,Census Tract 410,0.0,0.0,12.0,12.341755001532588,7.0,460.8522152481919,0.4687839240917211,0.0,0.08179581795817958,0.18234932349323493,0.0482779827798278,0.2016004924592182,0.9281818181818182
133,Census Tract 411,0.404,40751.0,188200.0,12,011,041100,Census Tract 411,0.0,0.0,11.0,13.381255100702505,21.0,12911.7005497436,0.4772204489266477,0.0,0.07730769230769231,0.18326923076923077,0.03980769230769231,0.13871030586401714,0.9382162431489786
134,Census Tract 412,0.4286,38100.0,183600.0,12,011,041200,Census Tract 412,0.0,12.0,12.0,13.469718158236867,6.0,2246.715777795564,0.47917794742049274,0.0,0.05486083098023396,0.21661960467930616,0.07503025413473174,0.30697105584997963,1.0
135,Census Tract 413,0.4014,44747.0,185200.0,12,011,041300,Census Tract 413,0.0,10.0,16.0,14.794260492871015,20.0,6176.838958820756,0.4903433461707464,3.805495719629334,0.08595505617977528,0.19707865168539326,0.017640449438202248,0.3092134831460674,0.942634235888022
136,Census Tract 414,0.4508,29196.0,150700.0,12,011,041400,Census Tract 414,0.0,4.0,4.0,13.768664022172802,9.0,2025.6409456642618,0.4718182353570804,0.0,0.051951408632721637,0.24373223055052987,0.04523132592401137,0.37059602649006623,0.8854466858789626
137,Census Tract 415,0.4927,25110.0,215400.0,12,011,041500,Census Tract 415,0.0,0.0,12.0,12.863162866706421,9.0,5935.356873915509,0.4699765836407881,0.0,0.05592734225621415,0.16969407265774378,0.06931166347992351,0.4513189448441247,0.8721212121212121
138,Census Tract 416.01,0.4447,39589.0,247800.0,12,011,041601,Census Tract 416.01,0.0,48.0,16.0,13.3911637989418,15.0,1350.7890193955332,0.42784013854517633,0.0,0.16661943893454237,0.29016718617172005,0.046755454803060356,0.2799659960328705,0.9553571428571429
140,Census Tract 416.02,0.5372,40799.0,116300.0,12,011,041602,Census Tract 416.02,0.0,0.0,2.0,13.736031025579004,5.0,1127.2483462044288,0.4850828776373386,0.0,0.04118821767348976,0.22666000998502248,0.06640039940089865,0.3194654563792234,0.8707037643207856
142,Census Tract 418.01,0.4955,118750.0,606200.0,12,011,041801,Census Tract 418.01,0.0,0.0,78.0,12.434780079364716,86.0,917.933936538119,0.43622981842125497,3.781407675130971,0.5328663793103449,0.19127155172413793,0.05172413793103448,0.037176724137931036,0.7975460122699386
143,Census Tract 418.02,0.5084,45696.0,396400.0,12,011,041802,Census Tract 418.02,1.0,0.0,9.0,12.283802691466013,199.0,2086.6885882679453,0.46695800395063247,11.933780730734002,0.4659217877094972,0.261731843575419,0.028491620111731845,0.13682432432432431,0.9111531190926276
144,Census Tract 422,0.5779,127500.0,627400.0,12,011,042200,Census Tract 422,9.0,6.0,45.0,15.560428456245232,81.0,1441.7036792269716,0.49286068854838233,8.817257741579297,0.5610297381269419,0.016422547714158898,0.018641810918774968,0.024855747891699954,0.46293706293706294
145,Census Tract 423.01,0.5695,64337.0,585500.0,12,011,042301,Census Tract 423.01,4.0,0.0,43.0,15.102666545699183,97.0,1494.3716673436293,0.4398234308405736,1.7296153571754866,0.5250578257517348,0.1716782318170136,0.02235929067077872,0.10112066718790721,0.7316032705296837
146,Census Tract 423.02,0.4183,87500.0,422700.0,12,011,042302,Census Tract 423.02,6.0,0.0,41.0,15.981885869687599,102.0,591.2657095643931,0.4369815137048439,3.494819507708493,0.3387227162489895,0.40501212611156023,0.012126111560226353,0.15765352887259396,0.7783595113438045
147,Census Tract 425.01,0.4247,75625.0,368800.0,12,011,042501,Census Tract 425.01,3.0,0.0,68.0,12.870955212269807,52.0,11193.94017520027,0.46157317018270716,6.916342260336398,0.547039374812143,0.5296062518785692,0.0,0.13451700270839603,0.8196366782006921
148,Census Tract 425.02,0.5138,102860.0,369800.0,12,011,042502,Census Tract 425.02,0.0,0.0,63.0,14.156574687157963,99.0,3540.9001671799474,0.4160309846794437,2.124620436959309,0.5213215520553208,0.34114483288513253,0.008451786400307337,0.10960165784020262,0.7391304347826086
149,Census Tract 426.01,0.4576,77500.0,349000.0,12,011,042601,Census Tract 426.01,0.0,0.0,10.0,14.892740875176244,84.0,2505.6639242977244,0.4797572286519107,11.431349593017575,0.40663176265270506,0.24229203025014542,0.03228621291448516,0.15066899360093078,0.8213935230618253
151,Census Tract 426.02,0.4392,64144.0,421400.0,12,011,042602,Census Tract 426.02,0.0,0.0,2.0,14.280586663413969,80.0,1047.1125516256225,0.42693044560094634,8.438831521058253,0.34991568296795955,0.32166947723440137,0.03625632377740304,0.1328090869375273,0.9247311827956989
152,Census Tract 427,0.533,41716.0,339600.0,12,011,042700,Census Tract 427,1.0,0.0,28.0,15.46485411512843,97.0,1631.4562948679454,0.41875208660822316,2.3508405269845367,0.23120267652755766,0.2396548688149322,0.037858777953865115,0.3042013827335579,0.9216607912260086
153,Census Tract 428.01,0.3744,53798.0,253600.0,12,011,042801,Census Tract 428.01,0.0,2.0,15.0,15.63553613107348,13.0,4790.998288128391,0.48202871322297985,0.0,0.03790369367627151,0.2705472829239992,0.06845871204795978,0.18506304558680892,0.9026143790849673
154,Census Tract 428.02,0.4773,34703.0,174900.0,12,011,042802,Census Tract 428.02,0.0,0.0,12.0,15.377481313425124,4.0,461.2869063979407,0.5533438300505025,0.0,0.13054945054945055,0.10901098901098902,0.0074725274725274725,0.32,0.9006849315068494
155,Census Tract 429,0.3566,55927.0,235000.0,12,011,042900,Census Tract 429,0.0,12.0,5.0,16.273104434465854,25.0,8206.588146277858,0.47714246061714166,2.4706537735563168,0.13017396520695862,0.28384323135372924,0.05898820235952809,0.21504077318030806,0.946787544343713
156,Census Tract 430.01,0.3896,123434.0,444400.0,12,011,043001,Census Tract 430.01,0.0,0.0,8.0,18.732641319132878,30.0,2520.0233746226468,0.5014573054264332,7.289623522516428,0.32788671023965144,0.1056644880174292,0.008169934640522876,0.06481481481481481,0.931592039800995
157,Census Tract 430.02,0.423,57627.0,260700.0,12,011,043002,Census Tract 430.02,0.0,10.0,9.0,17.708744314037276,57.0,5265.47475612663,0.4783717472090054,0.716860838806835,0.14240687679083094,0.22550143266475645,0.05530085959885387,0.14503484320557491,0.9306230667255855
158,Census Tract 431,0.4008,84193.0,310000.0,12,011,043100,Census Tract 431,0.0,2.0,7.0,17.16728847945185,33.0,1319.1549228832416,0.47957742400620496,0.0,0.23565530383230998,0.18865128096548803,0.02498412026254499,0.036417531230150325,0.9038876889848813
160,Census Tract 433.02,0.3879,43036.0,234500.0,12,011,043302,Census Tract 433.02,1.0,2.0,21.0,16.93397943225404,81.0,1032.7468946134798,0.438675176876659,0.0,0.10215827338129496,0.2489208633093525,0.029256594724220625,0.1683698296836983,0.8553811659192825
161,Census Tract 501,0.4408,49500.0,184100.0,12,011,050100,Census Tract 501,3.0,4.0,25.0,4.978013860360617,32.0,1934.2640480877471,0.5477449172669018,0.0,0.12491309385863268,0.1742757821552723,0.0421784472769409,0.20718424101969873,0.9720960415314731
162,Census Tract 502.06,0.4389,70897.0,253500.0,12,011,050206,Census Tract 502.06,0.0,0.0,6.0,6.120773811323013,4.0,3953.3971400760142,0.46133573576181225,5.692762021510954,0.34032542638698293,0.21858459125661636,0.11017447559302097,0.11778656126482213,0.7582900519376747
164,Census Tract 502.08,0.3978,53935.0,186100.0,12,011,050208,Census Tract 502.08,7.0,8.0,43.0,7.707323935155547,2.0,6002.543666971467,0.47900444155810296,4.2770958384770426,0.13376235348195817,0.22937255803263618,0.039531142266145715,0.28335329341317367,0.9028571428571428
166,Census Tract 503.01,0.3439,62650.0,243400.0,12,011,050301,Census Tract 503.01,0.0,24.0,4.0,10.905609038779996,14.0,1729.996109102508,0.4787386627829939,8.311268375044765,0.14399469143994692,0.23236009732360097,0.042689670426896704,0.08592362344582594,0.9686318972033258
167,Census Tract 503.11,0.4835,28252.0,70400.0,12,011,050311,Census Tract 503.11,0.0,4.0,0.0,12.711250437524736,3.0,4126.259378405508,0.38278962455125554,0.0,0.19638315908448714,0.19384006781576715,0.053122350946595086,0.2789473684210526,0.5837598089389286
169,Census Tract 503.12,0.4889,34226.0,60900.0,12,011,050312,Census Tract 503.12,0.0,4.0,0.0,13.347925148645293,2.0,850.4629705168855,0.4287415074753895,0.0,0.11490196078431372,0.17921568627450982,0.044313725490196076,0.14798564020741922,0.6716064018968583
171,Census Tract 503.13,0.5172,23605.0,193000.0,12,011,050313,Census Tract 503.13,0.0,16.0,2.0,11.97753723144396,4.0,6662.432007899463,0.45826628198834796,1.5237044207222994,0.11513812154696132,0.17149171270718233,0.04287292817679558,0.3013953488372093,0.9561354802887285
172,Census Tract 503.14,0.4243,26053.0,59400.0,12,011,050314,Census Tract 503.14,0.0,2.0,1.0,11.571564465779486,2.0,3485.243187545335,0.4598411523499224,0.0,0.042111506524317915,0.22212336892052195,0.03291814946619217,0.4015421115065243,0.8178477690288714
173,Census Tract 503.15,0.417,30027.0,171500.0,12,011,050315,Census Tract 503.15,0.0,4.0,5.0,11.768838468701619,5.0,3625.2275672170294,0.37924217810032185,0.0,0.2143474503025065,0.08643042350907519,0.0,0.1222990492653414,0.7916955017301038
175,Census Tract 503.16,0.6816,39286.0,173600.0,12,011,050316,Census Tract 503.16,0.0,4.0,0.0,11.285191171479541,6.0,585.5369156704799,0.40244644742659014,0.0,0.26413881748071977,0.009640102827763496,0.012210796915167094,0.08161953727506427,0.7021897810218978
177,Census Tract 507.01,0.4357,51163.0,264400.0,12,011,050701,Census Tract 507.01,0.0,8.0,10.0,8.465988475817039,66.0,1441.4784342461069,0.41504166395764325,3.82803453769383,0.11925630810092962,0.19070385126162018,0.02390438247011952,0.16114377338321753,0.8849557522123894
178,Census Tract 508,0.425,47810.0,157100.0,12,011,050800,Census Tract 508,0.0,18.0,9.0,10.981264790875496,25.0,2882.3251746785263,0.47942518766953307,0.0,0.10885063467223091,0.26273691531907495,0.05390366892714311,0.20309511389323595,0.9118753358409457
