,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
0,Census Tract 52.03,0.3777,107684.0,656400.0,06,111,005203,Census Tract 52.03,0.0,0.0,16,2.992909656546807,19.0,2157.2474228532005,0.466129749450463,4.809087538792691,0.2932820855614973,0.2159090909090909,0.014037433155080214,0.07262382864792503,0.993660855784469
3,Census Tract 52.05,0.5372,115980.0,878000.0,06,111,005205,Census Tract 52.05,0.0,0.0,25,3.1246610154455845,9.0,1482.045178016067,0.426877109935898,5.2072495532349095,0.37414552635576487,0.20780799027798877,0.017773051800091144,0.04333941605839416,0.9144176136363636
6,Census Tract 23.03,0.3987,51932.0,334200.0,06,047,002303,Census Tract 23.03,0.0,4.0,18,7.063019104532621,7.0,1762.7749442786048,0.5853898822704156,1.5845458860805368,0.070110103626943,0.163860103626943,0.034974093264248704,0.11601659751037345,0.9753224901850813
11,Census Tract 13,0.463,55191.0,613400.0,06,067,001300,Census Tract 13,0.0,6.0,67,2.4192398742361183,22.0,437.91177715153736,0.44582799080043317,9.529438538840783,0.4301994301994302,0.5441595441595442,0.026590693257359924,0.15701171256726812,0.9476001761338617
19,Census Tract 9,0.3664,51008.0,413500.0,06,053,000900,Census Tract 9,0.0,10.0,67,1.8257206041091196,32.0,2823.0432989500796,0.908961333090873,0.5422130185941988,0.01654475792406827,0.21543016370602577,0.03308951584813654,0.18965212784743068,0.9738562091503268
25,Census Tract 7.03,0.4513,32167.0,110500.0,06,033,000703,Census Tract 7.03,3.0,4.0,55,3.4719058883055602,0.0,1858.4652667346236,0.4872153774897363,0.0,0.043701799485861184,0.14138817480719795,0.021593830334190232,0.2931305715783954,0.7668202764976959
27,Census Tract 10,0.4777,48945.0,264100.0,06,033,001000,Census Tract 10,9.0,0.0,122,4.334322961997333,4.0,463.77619467189675,0.49284684642815935,0.0,0.07926065162907268,0.20598370927318296,0.049968671679197996,0.20138343027825814,0.8857254290171607
33,Census Tract 51,0.4472,39444.0,211900.0,06,019,005100,Census Tract 51,0.0,4.0,42,1.485343774230556,3.0,6807.17160169176,0.544893547041896,0.0,0.07230337907628745,0.23181348679356648,0.07687767448723624,0.29744498596957614,0.9511568123393316
