,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
229,Census Tract 370,0.3496,74350.0,141200.0,36,013,037000,Census Tract 370,0.0,8.0,0.0,22.626456300509748,7.0,22383.873380536315,0.48913709448455484,3.457007320212129,0.20382882882882883,0.165259009009009,0.014358108108108109,0.09506346967559944,0.8857493857493858
232,Census Tract 371,0.5485,50500.0,120600.0,36,013,037100,Census Tract 371,0.0,14.0,0.0,18.863352973995642,1.0,18400.452057389466,0.4815508934497494,1.2980758171488689,0.2487644151565074,0.15458539264140583,0.030477759472817133,0.0912106135986733,0.6992782678428228
236,Census Tract 372,0.3721,57463.0,92100.0,36,013,037200,Census Tract 372,0.0,4.0,0.0,22.493633500638673,2.0,19163.249848078216,0.4885816000388158,5.115281607656426,0.21708683473389356,0.1280112044817927,0.004761904761904762,0.06674542232722977,0.872852233676976
238,Census Tract 373,0.3928,52592.0,89700.0,36,013,037300,Census Tract 373,0.0,12.0,1.0,18.87541054009713,4.0,27419.55735094313,0.4905647633773395,1.46294770090123,0.12526315789473685,0.22021052631578947,0.02,0.15842839036755388,0.8139260424862313
242,Census Tract 374,0.4238,58143.0,84800.0,36,013,037400,Census Tract 374,0.0,4.0,2.0,22.407697643864907,1.0,22335.974975086036,0.48755903720281824,4.123017969840109,0.10517842768983096,0.17708612825328682,0.010732492621411323,0.10342965163381042,0.8201984821949796
244,Census Tract 376,0.3981,52321.0,103100.0,36,013,037600,Census Tract 376,0.0,2.0,0.0,22.293180556388933,1.0,20472.251915898483,0.4853839855680648,0.0,0.14739317914543315,0.15170521364170914,0.046648373186985496,0.0733045864366915,0.9232053422370617
247,Census Tract 9,0.3567,51402.0,70200.0,36,015,000900,Census Tract 9,0.0,10.0,176.0,2.278143522782587,23.0,19593.49012093629,0.4343184526391459,0.0,0.11597374179431072,0.17974366989684276,0.030947170990934667,0.11048336472065286,0.8038309114927344
257,Census Tract 11,0.463,48194.0,72300.0,36,015,001100,Census Tract 11,1.0,18.0,229.0,2.375324275240112,4.0,20712.743484881885,0.4019584812543239,0.0,0.12478485370051635,0.20654044750430292,0.025243832472748137,0.10814687320711418,0.8231827111984283
266,Census Tract 147,0.4189,101100.0,1143500.0,36,047,014700,Census Tract 147,0.0,10.0,22.0,13.490825955336424,5.0,1587.2619193173539,0.43630307480203034,23.87524254800009,0.4289493575207861,0.25510204081632654,0.03968253968253968,0.12647619047619046,0.9126413155190134
274,Census Tract 149.02,0.3819,145046.0,1231400.0,36,047,014902,Census Tract 149.02,0.0,6.0,65.0,5.462032885046993,35.0,26161.403479080018,0.46407849830641,38.78760253338113,0.5872182096738893,0.2591376668855329,0.05077697526811118,0.06156879929886065,0.9686356508102457
275,Census Tract 153,0.5602,101125.0,2000001.0,36,047,015300,Census Tract 153,0.0,6.0,26.0,9.875430164922966,20.0,20826.67484840826,0.4417517094738141,37.255537765689205,0.5411067193675889,0.18853754940711462,0.0233201581027668,0.03800082610491532,0.9556113902847572
278,Census Tract 160,0.3993,80833.0,777800.0,36,047,016000,Census Tract 160,0.0,4.0,1.0,22.3260365510821,8.0,1331.3026380748165,0.4037314985883103,8.87624920729013,0.33889695210449927,0.2641509433962264,0.009433962264150943,0.15345454545454545,0.8488678251711427
