,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
221,Census Tract 136.18,0.449,98063.0,466300.0,48,113,013618,Census Tract 136.18,0.0,0.0,19.0,21.982423305721184,6.0,2073.8978901779246,0.4324353856206522,2.587092215706327,0.44782168186423504,0.21445457615670382,0.019925700776764605,0.08645727794663965,0.8091872791519434
222,Census Tract 136.19,0.4593,130054.0,486700.0,48,113,013619,Census Tract 136.19,0.0,0.0,15.0,20.57092403305864,4.0,1602.5885965946402,0.4352370196247962,4.8613539519379705,0.5751565762004175,0.08872651356993737,0.02755741127348643,0.015031315240083507,0.9359359359359359
224,Census Tract 136.21,0.294,62394.0,133200.0,48,113,013621,Census Tract 136.21,0.0,0.0,8.0,19.581701961303438,4.0,4892.676087630057,0.40393406224470085,3.109349713036756,0.32317346481398473,0.4650380995069476,0.07956073509636934,0.035410129986553115,0.8652427184466019
227,Census Tract 136.29,0.3788,41350.0,133800.0,48,113,013629,Census Tract 136.29,0.0,0.0,0.0,17.416668852446005,4.0,12586.53189202728,0.6678857482934156,3.730366024974776,0.12730015082956259,0.2594268476621418,0.0,0.5363499245852187,0.8298816568047337
228,Census Tract 136.30,0.3337,56115.0,155600.0,48,113,013630,Census Tract 136.30,0.0,0.0,2.0,17.75235848557598,7.0,9257.64538285536,0.4435793908436981,1.4176169270704875,0.3816032508311784,0.4299963058736609,0.0421130402659771,0.217584041374215,0.9438131313131313
230,Census Tract 205,0.3423,58474.0,109700.0,48,027,020500,Census Tract 205,0.0,0.0,28.0,6.728454322458509,10.0,686.7161014685878,0.44756443134789026,2.0353292759093202,0.11981205951448708,0.1793265465935787,0.029235186635343254,0.10388932393630906,0.9184073107049608
235,Census Tract 206,0.4366,61544.0,122700.0,48,027,020600,Census Tract 206,0.0,0.0,39.0,10.117710878755966,2.0,547.6799303981962,0.44951596616144407,6.212237768315746,0.2814535481659239,0.11792937949948577,0.03565306822077477,0.16660953033938977,0.9228039041703638
239,Census Tract 165.21,0.4169,56591.0,189800.0,48,113,016521,Census Tract 165.21,0.0,0.0,92.0,18.808874752577474,6.0,341.9042785796035,0.3979690134183082,8.30434247129352,0.1419308357348703,0.3268011527377522,0.04481268011527378,0.12936993877147937,0.9222493887530563
240,Census Tract 165.26,0.3564,46830.0,151600.0,48,113,016526,Census Tract 165.26,0.0,0.0,8.0,21.595530416803935,6.0,3802.3494720930016,0.4780549158686637,0.0,0.19612856099342585,0.2394083272461651,0.052045288531775015,0.08126369612856099,1.0
241,Census Tract 165.28,0.3584,60657.0,192500.0,48,113,016528,Census Tract 165.28,0.0,0.0,17.0,20.946129297351153,9.0,1138.475910163763,0.4663694250079581,2.681157785319093,0.18453552890638983,0.24879183819581172,0.021657419008412386,0.00787542509396814,0.9785564853556485
242,Census Tract 165.33,0.5723,50401.0,105700.0,48,113,016533,Census Tract 165.33,0.0,0.0,5.0,15.411162695395191,4.0,282.29028662543453,0.6268157613930508,0.0,0.06405014990460615,0.18615426546742983,0.04360861270100845,0.15099482147724175,0.9630901287553648
243,Census Tract 167.10,0.4759,40316.0,90300.0,48,113,016710,Census Tract 167.10,0.0,0.0,8.0,14.240862236489054,2.0,1809.3648847719608,0.4750326073627611,0.0,0.08975112678816383,0.18616500097981578,0.0,0.21262002743484226,0.946053378762067
244,Census Tract 176.05,0.4182,47235.0,122600.0,48,113,017605,Census Tract 176.05,0.0,0.0,3.0,14.394338120620601,10.0,3579.9711595682847,0.5669361762785131,0.0,0.03095809981318388,0.2327195089404857,0.014678409394182012,0.21323725647184413,0.961340206185567
245,Census Tract 185.05,0.3812,32019.0,62600.0,48,113,018505,Census Tract 185.05,0.0,0.0,4.0,15.494786359124983,6.0,8421.62471170103,0.46529662829124235,0.0,0.08803780154190499,0.37702064163143495,0.04899278786371549,0.29420542153693113,0.9015904572564613
247,Census Tract 185.08,0.3205,55742.0,113600.0,48,113,018508,Census Tract 185.08,0.0,0.0,0.0,15.031390913472631,0.0,6883.322199542881,0.3918756493679726,9.960235596969206,0.2503168567807351,0.39543726235741444,0.058935361216730035,0.026615969581749048,0.9476309226932669
248,Census Tract 190.16,0.3595,52917.0,146900.0,48,113,019016,Census Tract 190.16,1.0,0.0,5.0,15.730491190037005,37.0,2575.2908965686606,0.3830752021353494,2.916281003057638,0.2708688245315162,0.2889267461669506,0.014310051107325384,0.22385008517887564,0.8920585967617579
249,Census Tract 190.18,0.4662,52695.0,274500.0,48,113,019018,Census Tract 190.18,0.0,0.0,23.0,17.426072558198396,9.0,3976.8010833784206,0.3763312888096432,1.1281848427408354,0.2118209771096686,0.2709258626580116,0.038435257943286644,0.15322856166723609,0.8462763839107925
250,Census Tract 190.19,0.5318,32995.0,245400.0,48,113,019019,Census Tract 190.19,0.0,0.0,4.0,16.382946500372647,11.0,4508.183882411207,0.4052691426394856,0.0,0.15647043734769783,0.2666410157752982,0.01782736950109016,0.31785438641625935,0.9629629629629629
251,Census Tract 190.34,0.4583,34792.0,195200.0,48,113,019034,Census Tract 190.34,0.0,0.0,21.0,16.308534996211495,13.0,2641.02763960923,0.3829114896031134,1.4833906382063997,0.17582648978732365,0.2667930090545378,0.0355864392503685,0.1471642420409024,0.9180171591992373
252,Census Tract 190.35,0.4515,36433.0,252100.0,48,113,019035,Census Tract 190.35,1.0,0.0,6.0,15.573998301091471,10.0,6721.898684062837,0.43549739134582,2.017884583371401,0.15836148648648649,0.28673986486486486,0.02266328828828829,0.34220157657657657,0.8702959444647425
253,Census Tract 317.04,0.5128,80240.0,437200.0,48,085,031704,Census Tract 317.04,0.0,0.0,28.0,23.350165262571796,7.0,2461.3861564392832,0.4050134036947347,6.835086633899112,0.4380314351971141,0.178562226230353,0.013913939706261274,0.016270661157024795,0.8672612801678908
254,Census Tract 317.06,0.4516,230428.0,708600.0,48,085,031706,Census Tract 317.06,0.0,0.0,5.0,23.238353469179287,1.0,1404.5638470301844,0.4688224546678781,0.9401193435865283,0.5330754352030947,0.07040618955512573,0.03288201160541586,0.018568665377176014,0.9562780269058296
255,Census Tract 317.08,0.4724,69529.0,441200.0,48,085,031708,Census Tract 317.08,0.0,0.0,36.0,23.03694963893663,9.0,1837.8412549353932,0.38629062437715483,3.972677113708819,0.4495644199908299,0.22512608895002292,0.01879871618523613,0.08161393856029345,0.9309742245522062
256,Census Tract 317.11,0.4606,86648.0,336300.0,48,085,031711,Census Tract 317.11,0.0,0.0,6.0,24.378110075213307,9.0,2672.5541659930655,0.3970694956294513,2.199869116994704,0.480884109916368,0.17054958183990443,0.03793309438470729,0.06824304100568691,0.9006391632771644
258,Census Tract 317.16,0.5281,71750.0,442700.0,48,085,031716,Census Tract 317.16,0.0,0.0,10.0,24.0954519023095,22.0,4012.9662553924895,0.3798144891555464,6.21953662308833,0.4748102139406487,0.19668737060041408,0.03795721187025535,0.05314009661835749,0.9047322540473225
259,Census Tract 317.17,0.4671,60716.0,315400.0,48,085,031717,Census Tract 317.17,1.0,0.0,49.0,24.542728351060102,1.0,4040.1239566957415,0.39821607117266555,13.510654505936698,0.39633507853403144,0.30523560209424083,0.031413612565445025,0.1418848167539267,0.8120124804992199
260,Census Tract 317.18,0.4563,122841.0,405600.0,48,085,031718,Census Tract 317.18,0.0,0.0,24.0,22.984393287313328,15.0,1646.3713966981827,0.4310545765744739,2.3738396656133163,0.447884012539185,0.17476489028213166,0.025470219435736678,0.08333333333333333,0.907981220657277
261,Census Tract 317.19,0.5253,77011.0,351400.0,48,085,031719,Census Tract 317.19,0.0,0.0,8.0,23.30320346314127,1.0,1985.9995027154946,0.39271313870413194,12.794593451949737,0.4820261437908497,0.2162309368191721,0.04411764705882353,0.08115468409586056,0.8676028084252758
263,Census Tract 317.21,0.3439,102908.0,273100.0,48,085,031721,Census Tract 317.21,0.0,0.0,0.0,25.08352048073749,5.0,2405.9645042602024,0.3742736315257903,2.0171998583685604,0.5889070146818923,0.25666122892876564,0.008700380641653072,0.021207177814029365,0.8209825145711906
265,Census Tract 317.24,0.5012,52993.0,844700.0,48,085,031724,Census Tract 317.24,0.0,0.0,0.0,24.495431547541713,4.0,3127.7799307032933,0.42468361114084974,11.254311258494937,0.44844664565511033,0.36875281404772625,0.0135074290859973,0.17964880684376408,0.8717791411042944
266,Census Tract 192.08,0.4222,43954.0,163000.0,48,113,019208,Census Tract 192.08,4.0,2.0,32.0,16.576309401077737,29.0,4972.571569984113,0.5761227389086309,1.5989895948448694,0.11765650080256822,0.22792937399678972,0.06195826645264847,0.17077493152891896,0.904549147034931
